# source, int. time, flux dens. (Jy), SNR, Elev, Bandwidth (MHz)
3C 123 (short), 602, 49.8, 83.5, 55.0, 124.1
3C 144 (short), 600, 750.1, 629.5, 62.7, 124.1
3C 84 (short), 600, 22.8, 36.2, 37.3, 78.8
3C 295 (short), 600, 22.7, 23.3, 21.2, 124.1 # 21.1
3C 218 (short), 600, 40.9, 63.0, 43.9, 78.8
3C 273B (short), 600, 55.2, 768, 24.2, 124.1
3C 274 (short), 330, 132.6, 386, 30.8, 124.1
3C 84 (long), 600, 7.7, 18.4, 37.3, 124.1
3C 273B (long), 600, 26.1, 25.0, 24.1, 124.1
