# source, int. time, flux dens. (Jy), SNR, Elev, Bandwidth (MHz)
3C 400 (short), 600, 46.9, 83.6, 58.5, 109.3
3C 84 (short), 650, 22.9, 368.1, 27.8, 109.3
3C 295 (short), 600, 22.7, 21.2, 9.9, 109.3 # 21.6
3C 348 (short), 600, 46.6, 42.9, 17.0, 109.3
3C 353 (short), 600, 52.8, 36.9, 22.3, 109.3
3C 398 (short), 602, 37.5, 118.8, 58.4, 109.3
Cygnus A (short), 1200, 1493.8, 1719.4, 73.1, 109.3
3C 84 (long), 650, 7.2, 12.3, 26.9, 109.3
Cygnus A (long), 1200, 83.8, 92.7, 73.2, 109.3
